Iteration,Timestamp,TimeToLogon,LogonTimeout,LogonToDesktop,TotalBootTime,Configuration
1,2026-01-17T16:05:46,22,0,40.38,62.38,baseline
1,2026-01-17T16:14:15,19,0,57.89,76.89,baseline
1,2026-01-19T14:10:05,25.00,0.00,57.20,82.20,baseline
1,2026-01-19T14:20:13,17.00,0.00,62.41,79.41,baseline
1,2026-01-19T14:29:12,18.00,0.00,44.94,62.94,baseline
