Iteration,Timestamp,TimeToLogon,LogonTimeout,LogonToDesktop,TotalBootTime,Configuration
1,2026-01-19T16:42:02,16,0,56.86,72.86,firewall
1,2026-01-19T18:23:43,17.00,0.00,41.80,58.80,firewall
1,2026-01-19T18:32:42,15.00,0.00,56.30,71.30,firewall
1,2026-01-19T18:41:01,19.00,0.00,40.52,59.52,firewall
1,2026-01-19T18:49:58,19.00,0.00,29.14,48.14,firewall
